Year,Average Temperature (NT),,,,,,,,,,,,
1990,32.2,,,,,,,,,,,,
1991,31.8,,,,,,,,,,,,
1992,32.3,,,,,,,,,,,,
1993,32.3,,,,,,,,,,,,
1994,32.1,,,,,,,,,,,,
1995,31.8,,,,,,,,,,,,
1996,32.4,,,,,,,,,,,,
1997,32,,,,,,,,,,,,
1998,32.9,,,,,,,,,,,,
1999,31.8,,,,,,,,,,,,
2000,31.6,,,,,,,,,,,,
2001,32.1,,,,,,,,,,,,
2002,32.7,,,,,,,,,,,,
2003,32.6,,,,,,,,,,,,
2004,32.1,,,,,,,,,,,,
2005,32.8,,,,,,,,,,,,
2006,31.8,,,,,,,,,,,,
2007,32.2,,,,,,,,,,,,
2008,32.5,,,,,,,,,,,,
2009,32.7,,,,,,,,,,,,
2010,32.6,,,,,,,,,,,,
2011,31.6,,,,,,,,,,,,
2012,32.3,,,,,,,,,,,,
2013,32.7,,,,,,,,,,,,
2014,32.6,,,,,,,,,,,,
2015,32.6,,,,,,,,,,,,
2016,33.2,,,,,,,,,,,,
2017,32.8,,,,,,,,,,,,
2018,32.8,,,,,,,,,,,,
2019,33,,,,,,,,,,,,
2020,33.1,,,,,,,,,,,,
2021,33,,,,,,,,,,,,
2022,32.9,,,,,,,,,,,,
2023,32.9,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,32.2
top,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1991,31,30.1,32.2,32.6,32.2,31.2,30.4,31.3,31.7,33.4,32.5,33.5,31.8
1992,32.5,31.8,33.2,31.9,32.8,30.9,31.2,31.6,32.7,33.4,33,32.8,32.3
1993,31.6,30.6,32.4,34,32.6,31.7,30.7,31.6,32.5,33.5,33.8,32.2,32.3
1994,32.5,31.3,32.4,32.8,32.4,30.6,30.3,31.6,31.8,33,33.9,32.7,32.1
1995,31.2,31.6,30.9,32,31.6,30.4,30.8,32.2,32.7,32.8,33.4,32.4,31.8
1996,32.3,32.4,32.3,32.4,32.5,32.1,31,31.6,33.1,33.6,33.7,31.9,32.4
1997,30.9,31,31.9,33.6,31.5,30.7,30.7,31.3,33,33.2,33.2,32.7,32
1998,31.6,32.6,32.5,33.9,33.4,32.4,32.4,32.6,33.6,34.2,33.6,31.6,32.9
1999,31.3,30.3,31.5,32,31.4,31.3,30.6,31.7,33.1,33,32.8,32.8,31.8
2000,31.4,30.9,31,31.5,31.3,29.2,30.5,31.8,33.3,32.9,33.9,31.4,31.6
2001,31.8,31.3,31.6,32.6,31.5,31.7,30.6,31.2,33.1,33.8,33.9,32.5,32.1
2002,33.1,31,33.3,33.5,33,31.2,30.8,31.7,31.8,34.2,34.1,34.4,32.7
2003,32.1,31.1,31.9,34,33,32,31.7,31.6,33,34.1,33.8,32.7,32.6
2004,31.8,30.9,31.9,34,31.9,29.7,30.3,30.7,32.9,33.8,34.3,33.5,32.1
2005,32.4,32.8,32.7,33.5,32.6,31.5,31.9,32,32.9,34.2,33.9,33.2,32.8
2006,31,32.7,30.9,31.1,30.8,29.9,29.6,31.4,32.8,33.6,33.9,33.9,31.8
2007,32.4,32.1,30.9,33.1,33.4,29.9,29.9,31.3,33.1,33.9,33.6,33.3,32.2
2008,32.2,30.8,32.2,33.3,32.5,31.4,31.2,32.6,33.3,34.4,34.2,32.2,32.5
2009,32.1,30.9,33.2,33.6,32.6,31.5,31.3,32,33.5,34.8,33.7,32.9,32.7
2010,31.5,32.6,33.3,32.5,32.3,31.1,32.6,32.8,34,33.7,33,31.9,32.6
2011,31.1,30.5,31,31.7,30.8,29,31.2,31.9,32.8,33.3,32.9,33.3,31.6
2012,32.6,32.4,31.8,32.8,31.1,29.7,30.6,31.4,33.7,33.9,33.9,34.2,32.3
2013,32.9,32.6,32,33.7,32.7,31.8,31.5,32.1,33.3,34.1,32.9,32.6,32.7
2014,31.7,31.3,33,33,32.7,31.2,31.1,31.9,33.2,34.3,34.3,34,32.6
2015,31.2,32.6,32.7,33.2,32.6,32,31.3,31.8,33.2,33.8,34.7,32.4,32.6
top,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2016,33,33.5,33.7,34.5,33.5,33.2,31.5,32.6,33.2,33.8,33.7,32.6,33.2
2017,32,31.6,32.1,32,32.9,31.3,32.6,33.1,34.1,33.9,33.9,33.9,32.8
2018,31.8,31.6,32.7,33.8,32.7,31.6,31.9,32,33.6,34.2,34,34,32.8
2019,32.7,33.1,33.4,33.1,32.3,31,31.3,32,32.7,34.3,34.5,35.3,33
2020,32.8,33.4,33.2,33.7,32.1,32.4,32,32.6,33.9,33.6,35,32.6,33.1
2021,31.8,31.4,32.3,33,32.7,31.8,32.3,33.4,34.1,34.5,34.7,33.5,33
2022,32.6,31.7,33.4,33.9,33.6,31.9,29.8,32.8,33.8,33.8,34.1,33.1,32.9
2023,31.8,31.4,32.5,32.7,32.2,32.6,31.6,33.3,33.7,34.6,34.4,34.1,32.9